segment_id,street,start_latitude,start_longitude,end_latitude,end_longitude,street_norm,geometry
913,Michigan,41.852856,-87.62411,41.845642,-87.62391,MICHIGAN,"LINESTRING (448193.8932636674 4633627.433124747, 448204.54042353336 4632826.412345684)"
914,Michigan,41.860207,-87.62424,41.852856,-87.62411,MICHIGAN,"LINESTRING (448189.06060139637 4634443.660728388, 448193.8932636674 4633627.433124747)"
921,Michigan,41.884476,-87.62465,41.87578,-87.6246,MICHIGAN,"LINESTRING (448174.4746248224 4637138.437894823, 448171.24472869025 4636172.749584939)"
922,Michigan,41.89257,-87.62436,41.884476,-87.62465,MICHIGAN,"LINESTRING (448205.0677605127 4638037.006224077, 448174.4746248224 4637138.437894823)"
925,Michigan,41.90083,-87.624405,41.89257,-87.62436,MICHIGAN,"LINESTRING (448207.9437121739 4638953.99057566, 448205.0677605127 4638037.006224077)"
926,Milwaukee,41.88902,-87.644135,41.896233,-87.6552,MILWAUKEE,"LINESTRING (446561.59399356775 4637654.820471171, 445649.9330478997 4638462.676740402)"
1037,Wacker,41.88695,-87.627975,41.887066,-87.632484,WACKER,"LINESTRING (447900.50071864633 4637415.326866983, 447526.5093041885 4637430.7803445505)"
1038,Wacker,41.8883,-87.62457,41.88695,-87.627975,WACKER,"LINESTRING (448183.89643613284 4637563.198267414, 447900.50071864633 4637415.326866983)"
1126,Cicero,41.836746,-87.74357,41.851242,-87.744064,CICERO,"LINESTRING (438262.087838497 4631917.820766632, 438234.8562061621 4633527.606219859)"
1202,Halsted,41.736073,-87.64338,41.74336,-87.64364,HALSTED,"LINESTRING (446497.1241060438 4620673.3140081335, 446481.6026312839 4621482.408610903)"
1269,Madison,41.88211,-87.62437,41.882015,-87.636894,MADISON,"LINESTRING (448195.98492363177 4636875.675377592, 447156.4916952099 4636872.72490894)"
1270,Madison,41.882015,-87.636894,41.881878,-87.64736,MADISON,"LINESTRING (447156.4916952099 4636872.72490894, 446287.87523737835 4636863.975977795)"
1271,Madison,41.881878,-87.64736,41.881714,-87.65714,MADISON,"LINESTRING (446287.87523737835 4636863.975977795, 445476.2040922684 4636851.931758917)"
1273,Madison,41.881714,-87.65714,41.881554,-87.6668,MADISON,"LINESTRING (445476.2040922684 4636851.931758917, 444674.6602866595 4636840.32486611)"
247,55th,41.792213,-87.78181,41.792404,-87.772064,55TH,"LINESTRING (435042.16741648514 4627001.697437272, 435851.8559732433 4627015.558184137)"
251,55th,41.792892,-87.74199,41.79298,-87.73296,55TH,"LINESTRING (438351.1738724202 4627047.765565854, 439101.15941456304 4627051.073729749)"
273,87th,41.736416,-87.64362,41.736073,-87.653336,87TH,"LINESTRING (446477.10653295624 4620711.58306331, 445669.15744422807 4620679.551386488)"
274,87th,41.736485,-87.62476,41.736416,-87.64362,87TH,"LINESTRING (448045.5312466617 4620707.649461649, 446477.10653295624 4620711.58306331)"
278,87th,41.73729,-87.56887,41.73705,-87.58563,87TH,"LINESTRING (452694.120517226 4620764.781454267, 451300.06491575565 4620747.448505798)"
456,95th,41.72175,-87.6141,41.72195,-87.60451,95TH,"LINESTRING (448920.8239492363 4619065.191566826, 449718.670792805 4619081.992622003)"
457,95th,41.72195,-87.60451,41.722004,-87.594734,95TH,"LINESTRING (449718.670792805 4619081.992622003, 450531.62860632123 4619082.259886206)"
458,95th,41.722004,-87.594734,41.722206,-87.585106,95TH,"LINESTRING (450531.62860632123 4619082.259886206, 451332.6398762846 4619099.218794978)"
465,95th,41.721428,-87.65294,41.721333,-87.66263,95TH,"LINESTRING (445689.8158445763 4619053.390138884, 444883.79047273647 4619048.960020494)"
466,95th,41.721596,-87.64322,41.721428,-87.65294,95TH,"LINESTRING (446498.4371768587 4619065.938959835, 445689.8158445763 4619053.390138884)"
467,95th,41.721848,-87.62864,41.721596,-87.64322,95TH,"LINESTRING (447711.3609507578 4619084.933345503, 446498.4371768587 4619065.938959835)"
468,95th,41.721912,-87.62053,41.721848,-87.62864,95TH,"LINESTRING (448385.9893197328 4619087.239128486, 447711.3609507578 4619084.933345503)"
469,95th,41.722023,-87.61409,41.721912,-87.62053,95TH,"LINESTRING (448921.6760645883 4619095.680747461, 448385.9893197328 4619087.239128486)"
470,95th,41.722225,-87.6045,41.722023,-87.61409,95TH,"LINESTRING (449719.5195096523 4619112.481868087, 448921.6760645883 4619095.680747461)"
471,95th,41.72228,-87.594734,41.722225,-87.6045,95TH,"LINESTRING (450531.83926841157 4619112.753582282, 449719.5195096523 4619112.481868087)"
472,95th,41.72248,-87.585106,41.72228,-87.594734,95TH,"LINESTRING (451332.8471284605 4619129.712485988, 450531.83926841157 4619112.753582282)"
477,111th,41.691635,-87.68117,41.691788,-87.67058,111TH,"LINESTRING (443315.6256450865 4615763.867033589, 444196.9915521747 4615773.893511818)"
498,Archer,41.800022,-87.73317,41.802185,-87.72349,ARCHER,"LINESTRING (439090.7124427571 4627833.056692293, 439897.06218999653 4628066.383256378)"
623,Cicero,41.909626,-87.7459,41.91693,-87.745926,CICERO,"LINESTRING (438138.5644097367 4640011.157897113, 438143.72023548814 4640822.251550372)"
624,Cicero,41.91693,-87.745926,41.92423,-87.746086,CICERO,"LINESTRING (438143.72023548814 4640822.251550372, 438137.48327856814 4641632.598210083)"
625,Cicero,41.92423,-87.746086,41.93153,-87.74641,CICERO,"LINESTRING (438137.48327856814 4641632.598210083, 438117.97089289455 4642443.485086033)"
626,Cicero,41.93153,-87.74641,41.93882,-87.7467,CICERO,"LINESTRING (438117.97089289455 4642443.485086033, 438100.9843453639 4643253.080432084)"
628,Cicero,41.946117,-87.74687,41.95342,-87.747116,CICERO,"LINESTRING (438093.49746607715 4644063.441304335, 438080.3277736569 4644874.27638071)"
629,Cicero,41.95342,-87.747116,41.962254,-87.74739,CICERO,"LINESTRING (438080.3277736569 4644874.27638071, 438066.11985364824 4645855.398685624)"
